Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,1028446,513487.0,514959.0,62903,62351,63663,63146.0,60816.0,63846.0,64722.0,67431.0,,69005.0,64745.0,70799,51115,64784,69596,64878,64646
Atlanta Falcons,1134671,562845.0,571826.0,70516,77678,90345,69904.0,70178.0,73018.0,63329.0,70524.0,70799.0,,70433.0,70610,58221,74420,64016,70981,69699
Baltimore Ravens,1083919,568018.0,515901.0,76798,53500,70970,63929.0,71046.0,70799.0,64722.0,70829.0,,70837.0,71105.0,64380,64519,71179,70791,71261,57254
Buffalo Bills,1140809,559047.0,581762.0,70319,70858,64869,70677.0,65670.0,69593.0,84021.0,,70214.0,78160.0,66829.0,72493,68544,69596,80124,70172,68670
Carolina Panthers,1157689,592454.0,565235.0,60733,73254,73402,57468.0,,69020.0,74194.0,74136.0,74461.0,63591.0,74418.0,90909,73097,74420,79436,70981,74169
Chicago Bears,1020065,496287.0,523778.0,62442,62351,69002,62409.0,75799.0,57648.0,,62311.0,68033.0,58653.0,62483.0,78488,62088,61026,52421,63734,61177
Cincinnati Bengals,1028118,491118.0,537000.0,54500,57579,70970,57498.0,65004.0,69593.0,,64750.0,65816.0,61381.0,64745.0,61022,64775,65564,70799,76868,57254
Cleveland Browns,1062262,529488.0,532774.0,78160,67431,67431,63710.0,71046.0,67431.0,51523.0,67431.0,65816.0,64402.0,,64380,64775,63916,69002,69115,66693
Dallas Cowboys,1312509,731672.0,580837.0,93579,69296,90345,73009.0,93054.0,,80319.0,91486.0,91827.0,64113.0,65115.0,90909,80444,78369,90345,70172,90127
Denver Broncos,1141878,615381.0,526497.0,76798,76404,62920,77029.0,54500.0,67431.0,,77075.0,66894.0,76973.0,62483.0,76970,68631,76824,67234,76868,76844
Detroit Lions,1025745,490782.0,534963.0,66093,52319,62920,69005.0,60816.0,57648.0,60231.0,83624.0,,78526.0,60202.0,64445,63207,51202,73017,61313,61177
Green Bay Packers,1147786,627308.0,520478.0,62442,78433,78214,70799.0,78432.0,78434.0,,77075.0,74461.0,78526.0,52529.0,78488,63207,78369,55087,64878,78412
Houston Texans,1098814,574159.0,524655.0,71776,73254,71718,69904.0,71732.0,58085.0,65251.0,71630.0,,61381.0,71718.0,71778,68544,71908,66083,62153,71899
Indianapolis Colts,1067476,528381.0,539095.0,70319,65220,65920,65609.0,71732.0,66726.0,66420.0,74136.0,66894.0,,70433.0,65696,58701,62372,66083,65482,65733
Jacksonville Jaguars,1056511,514268.0,542243.0,60733,65443,66829,65609.0,58490.0,58085.0,84021.0,,78160.0,70837.0,60121.0,59477,57355,62372,64016,73064,71899
Kansas City Chiefs,1130807,602228.0,528579.0,71776,76404,78214,57498.0,75799.0,52480.0,76365.0,83624.0,,76973.0,65837.0,72493,55010,72314,70791,69115,76114
Miami Dolphins,1093320,537548.0,555772.0,76512,65443,64869,83986.0,,62342.0,65251.0,66829.0,70214.0,69596.0,65115.0,78160,64519,65408,66676,65482,62918
Minnesota Vikings,958016,419440.0,538576.0,70499,52319,52400,77029.0,,52480.0,60231.0,62311.0,52406.0,54700.0,52529.0,70610,52430,64784,52421,52455,78412
New England Patriots,1136287,534632.0,601655.0,66829,70858,66829,,93054.0,66726.0,66829.0,66829.0,66829.0,81061.0,66829.0,76970,66829,71908,66829,78160,62918
New Orleans Saints,1135027,584305.0,550722.0,62903,73006,73402,73009.0,69296.0,73018.0,66420.0,73019.0,73075.0,75086.0,,71778,73097,62138,73017,73064,69699
New York Giants,1198163,632011.0,566152.0,93579,77678,76081,70677.0,78515.0,69296.0,80319.0,73019.0,64351.0,81061.0,,77367,80898,65408,79436,52455,78023
New York Jets,1207646,625280.0,582366.0,78160,65220,78160,83986.0,,78160.0,66829.0,54700.0,78160.0,78160.0,71718.0,78160,80898,78160,90345,78160,68670
Oakland Raiders,970514,436397.0,534117.0,54500,53500,67431,62409.0,54500.0,,67542.0,54700.0,65520.0,54700.0,60202.0,58075,55010,76824,55087,54400,76114
Philadelphia Eagles,1154629,555868.0,598761.0,70516,69296,78160,74767.0,69296.0,69296.0,74194.0,,91827.0,69596.0,69596.0,64445,66829,69596,69596,69596,78023
Pittsburgh Steelers,1050712,514854.0,535858.0,66829,66472,52433,63929.0,67658.0,63846.0,76365.0,64750.0,65520.0,64402.0,,69055,58701,65564,67234,71261,66693
San Diego Chargers,1056457,534180.0,522277.0,66093,57579,52400,63710.0,67658.0,78434.0,67542.0,70829.0,68033.0,,65837.0,59477,68631,72314,66676,54400,76844
San Francisco 49ers,1082259,566092.0,516167.0,70499,66472,63663,70799.0,78515.0,70799.0,70799.0,51207.0,70799.0,,68993.0,70799,62088,63916,70799,61313,70799
Seattle Seahawks,1097931,552162.0,545769.0,51792,78433,69002,69005.0,65004.0,69020.0,70799.0,91486.0,,69005.0,68993.0,69055,52430,71179,69002,69080,64646
St. Louis Rams,957670,419220.0,538450.0,51792,72460,52433,63146.0,78432.0,,51523.0,51207.0,52406.0,58653.0,71105.0,61022,51115,51202,51295,69080,70799
Tampa Bay Buccaneers,1041376,492460.0,548916.0,63945,73006,71718,57468.0,58490.0,,72912.0,70524.0,64351.0,64113.0,69596.0,65696,58221,62138,51295,63734,74169
Tennessee Titans,1045359,498435.0,546924.0,63945,67431,65920,,65670.0,62342.0,63329.0,71630.0,73075.0,63591.0,60121.0,58075,57355,78160,66829,62153,65733
Washington Redskins,1196087,609672.0,586415.0,76512,72460,76081,74767.0,70178.0,78160.0,72912.0,,66829.0,75086.0,74418.0,77367,80444,61026,80124,69596,90127
