Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,season,Week 18
Arizona Cardinals,1028446,513487.0,514959.0,62903.0,62351.0,63663.0,63146.0,60816.0,63846.0,64722.0,67431.0,,69005.0,64745.0,70799.0,51115.0,64784.0,69596.0,64878.0,64646.0,2015,
Atlanta Falcons,1134671,562845.0,571826.0,70516.0,77678.0,90345.0,69904.0,70178.0,73018.0,63329.0,70524.0,70799.0,,70433.0,70610.0,58221.0,74420.0,64016.0,70981.0,69699.0,2015,
Baltimore Ravens,1083919,568018.0,515901.0,76798.0,53500.0,70970.0,63929.0,71046.0,70799.0,64722.0,70829.0,,70837.0,71105.0,64380.0,64519.0,71179.0,70791.0,71261.0,57254.0,2015,
Buffalo Bills,1140809,559047.0,581762.0,70319.0,70858.0,64869.0,70677.0,65670.0,69593.0,84021.0,,70214.0,78160.0,66829.0,72493.0,68544.0,69596.0,80124.0,70172.0,68670.0,2015,
Carolina Panthers,1157689,592454.0,565235.0,60733.0,73254.0,73402.0,57468.0,,69020.0,74194.0,74136.0,74461.0,63591.0,74418.0,90909.0,73097.0,74420.0,79436.0,70981.0,74169.0,2015,
Chicago Bears,1020065,496287.0,523778.0,62442.0,62351.0,69002.0,62409.0,75799.0,57648.0,,62311.0,68033.0,58653.0,62483.0,78488.0,62088.0,61026.0,52421.0,63734.0,61177.0,2015,
Cincinnati Bengals,1028118,491118.0,537000.0,54500.0,57579.0,70970.0,57498.0,65004.0,69593.0,,64750.0,65816.0,61381.0,64745.0,61022.0,64775.0,65564.0,70799.0,76868.0,57254.0,2015,
Cleveland Browns,1062262,529488.0,532774.0,78160.0,67431.0,67431.0,63710.0,71046.0,67431.0,51523.0,67431.0,65816.0,64402.0,,64380.0,64775.0,63916.0,69002.0,69115.0,66693.0,2015,
Dallas Cowboys,1312509,731672.0,580837.0,93579.0,69296.0,90345.0,73009.0,93054.0,,80319.0,91486.0,91827.0,64113.0,65115.0,90909.0,80444.0,78369.0,90345.0,70172.0,90127.0,2015,
Denver Broncos,1141878,615381.0,526497.0,76798.0,76404.0,62920.0,77029.0,54500.0,67431.0,,77075.0,66894.0,76973.0,62483.0,76970.0,68631.0,76824.0,67234.0,76868.0,76844.0,2015,
Detroit Lions,1025745,490782.0,534963.0,66093.0,52319.0,62920.0,69005.0,60816.0,57648.0,60231.0,83624.0,,78526.0,60202.0,64445.0,63207.0,51202.0,73017.0,61313.0,61177.0,2015,
Green Bay Packers,1147786,627308.0,520478.0,62442.0,78433.0,78214.0,70799.0,78432.0,78434.0,,77075.0,74461.0,78526.0,52529.0,78488.0,63207.0,78369.0,55087.0,64878.0,78412.0,2015,
Houston Texans,1098814,574159.0,524655.0,71776.0,73254.0,71718.0,69904.0,71732.0,58085.0,65251.0,71630.0,,61381.0,71718.0,71778.0,68544.0,71908.0,66083.0,62153.0,71899.0,2015,
Indianapolis Colts,1067476,528381.0,539095.0,70319.0,65220.0,65920.0,65609.0,71732.0,66726.0,66420.0,74136.0,66894.0,,70433.0,65696.0,58701.0,62372.0,66083.0,65482.0,65733.0,2015,
Jacksonville Jaguars,1056511,514268.0,542243.0,60733.0,65443.0,66829.0,65609.0,58490.0,58085.0,84021.0,,78160.0,70837.0,60121.0,59477.0,57355.0,62372.0,64016.0,73064.0,71899.0,2015,
Kansas City Chiefs,1130807,602228.0,528579.0,71776.0,76404.0,78214.0,57498.0,75799.0,52480.0,76365.0,83624.0,,76973.0,65837.0,72493.0,55010.0,72314.0,70791.0,69115.0,76114.0,2015,
