season,week,Tm,attendance,Total,Home,Away
2015,1,Atlanta Falcons,70516.0,1134671,562845.0,571826.0
2015,1,Carolina Panthers,60733.0,1157689,592454.0,565235.0
2015,1,Denver Broncos,76798.0,1141878,615381.0,526497.0
2015,1,Kansas City Chiefs,71776.0,1130807,602228.0,528579.0
2015,1,New Orleans Saints,62903.0,1135027,584305.0,550722.0
2015,1,Tampa Bay Buccaneers,63945.0,1041376,492460.0,548916.0
2016,1,Atlanta Falcons,69382.0,1116392,559998.0,556394.0
2016,1,Carolina Panthers,76843.0,1159680,590343.0,569337.0
2016,1,Denver Broncos,76843.0,1133943,614193.0,519750.0
2016,1,Kansas City Chiefs,73238.0,1115214,586624.0,528590.0
2016,1,New Orleans Saints,73028.0,1141039,584876.0,556163.0
2016,1,Tampa Bay Buccaneers,69382.0,1054600,484998.0,569602.0
2017,1,Atlanta Falcons,61857.0,1123058,575681.0,547377.0
2017,1,Carolina Panthers,70178.0,1133961,588942.0,545019.0
2017,1,Denver Broncos,76324.0,1106590,610846.0,495744.0
2017,1,Kansas City Chiefs,65878.0,1134166,592851.0,541315.0
2017,1,Los Angeles Chargers,76324.0,783367,202687.0,580680.0
2017,1,New Orleans Saints,66606.0,1146046,585113.0,560933.0
2017,1,Tampa Bay Buccaneers,,1036961,479618.0,557343.0
2018,1,Atlanta Falcons,69696.0,1119143,583184.0,535959.0
2018,1,Carolina Panthers,74532.0,1102756,590182.0,512574.0
2018,1,Denver Broncos,76761.0,1092324,611571.0,480753.0
2018,1,Kansas City Chiefs,25351.0,1107376,607780.0,499596.0
2018,1,Los Angeles Chargers,25351.0,803556,262145.0,541411.0
2018,1,New Orleans Saints,73038.0,1147700,584411.0,563289.0
2018,1,Tampa Bay Buccaneers,73038.0,999843,434855.0,564988.0
2019,1,Atlanta Falcons,66714.0,1099463,572811.0,526652.0
2019,1,Carolina Panthers,72005.0,1122333,577765.0,544568.0
2019,1,Denver Broncos,52359.0,1104191,607497.0,496694.0
2019,1,Kansas City Chiefs,60157.0,1115771,587723.0,528048.0
2019,1,Los Angeles Chargers,25363.0,760644,254007.0,506637.0
2019,1,New Orleans Saints,73039.0,1117057,584660.0,532397.0
2019,1,Tampa Bay Buccaneers,55976.0,949068,415189.0,533879.0
2020,1,Atlanta Falcons,,113084,50657.0,62427.0
2020,1,Carolina Panthers,,55958,34229.0,21729.0
2020,1,Denver Broncos,,47133,21122.0,26011.0
2020,1,Kansas City Chiefs,15895.0,142549,105228.0,37321.0
2020,1,Las Vegas Raiders,,33407,,33407.0
2020,1,Los Angeles Chargers,,38354,,38354.0
2020,1,New Orleans Saints,,48429,22476.0,25953.0
2020,1,Tampa Bay Buccaneers,,123127,101383.0,21744.0
2021,1,Atlanta Falcons,68633.0,1173982,540764.0,633218.0
2021,1,Carolina Panthers,70211.0,1202133,575249.0,626884.0
2021,1,Denver Broncos,74119.0,1243881,686129.0,557752.0
2021,1,Kansas City Chiefs,72973.0,1192945,659044.0,533901.0
2021,1,Las Vegas Raiders,61756.0,1068732,550673.0,518059.0
2021,1,Los Angeles Chargers,52753.0,1153356,632160.0,521196.0
2021,1,New Orleans Saints,35242.0,1117104,519432.0,597672.0
2021,1,Tampa Bay Buccaneers,65566.0,1067169,457325.0,609844.0
2022,1,Atlanta Falcons,70078.0,1167681,626248.0,541433.0
2022,1,Carolina Panthers,72205.0,1201413,642167.0,559246.0
2022,1,Denver Broncos,68965.0,1251020,607845.0,643175.0
2022,1,Kansas City Chiefs,63697.0,1202995,587997.0,614998.0
2022,1,Las Vegas Raiders,70240.0,1125946,496363.0,629583.0
2022,1,Los Angeles Chargers,70240.0,1175977,559644.0,616333.0
2022,1,New Orleans Saints,70078.0,1168868,621249.0,547619.0
2022,1,Tampa Bay Buccaneers,93797.0,1196168,620898.0,575270.0
2023,1,Atlanta Falcons,69597.0,1176416,556828.0,619588.0
2023,1,Carolina Panthers,69597.0,1163926,573086.0,590840.0
2023,1,Denver Broncos,76299.0,1226925,687498.0,539427.0
2023,1,Kansas City Chiefs,73522.0,1205847,638715.0,567132.0
2023,1,Las Vegas Raiders,76299.0,1111041,559713.0,551328.0
2023,1,Los Angeles Chargers,70240.0,1190939,627632.0,563307.0
2023,1,New Orleans Saints,70024.0,1188849,560164.0,628685.0
2023,1,Tampa Bay Buccaneers,66741.0,1140061,510321.0,629740.0
2024,1,Atlanta Falcons,72291.0,1185384,642432.0,542952.0
2024,1,Carolina Panthers,70007.0,1175655,640515.0,535140.0
2024,1,Denver Broncos,68714.0,1142969,515265.0,627704.0
2024,1,Kansas City Chiefs,73611.0,1144982,588837.0,556145.0
2024,1,Las Vegas Raiders,70240.0,1122807,497403.0,625404.0
2024,1,Los Angeles Chargers,70240.0,1170832,559732.0,611100.0
2024,1,New Orleans Saints,70007.0,1227161,630113.0,597048.0
2024,1,Tampa Bay Buccaneers,63020.0,1160353,573195.0,587158.0
2015,2,Atlanta Falcons,77678.0,1134671,562845.0,571826.0
2015,2,Carolina Panthers,73254.0,1157689,592454.0,565235.0
2015,2,Denver Broncos,76404.0,1141878,615381.0,526497.0
2015,2,Kansas City Chiefs,76404.0,1130807,602228.0,528579.0
2015,2,New Orleans Saints,73006.0,1135027,584305.0,550722.0
2015,2,Tampa Bay Buccaneers,73006.0,1041376,492460.0,548916.0
2016,2,Atlanta Falcons,54081.0,1116392,559998.0,556394.0
2016,2,Carolina Panthers,74143.0,1159680,590343.0,569337.0
2016,2,Denver Broncos,76379.0,1133943,614193.0,519750.0
2016,2,Kansas City Chiefs,71890.0,1115214,586624.0,528590.0
2016,2,New Orleans Saints,77727.0,1141039,584876.0,556163.0
2016,2,Tampa Bay Buccaneers,64230.0,1054600,484998.0,569602.0
2017,2,Atlanta Falcons,70826.0,1123058,575681.0,547377.0
2017,2,Carolina Panthers,74122.0,1133961,588942.0,545019.0
2017,2,Denver Broncos,76919.0,1106590,610846.0,495744.0
2017,2,Kansas City Chiefs,74971.0,1134166,592851.0,541315.0
2017,2,Los Angeles Chargers,25381.0,783367,202687.0,580680.0
2017,2,New Orleans Saints,73168.0,1146046,585113.0,560933.0
2017,2,Tampa Bay Buccaneers,56640.0,1036961,479618.0,557343.0
2018,2,Atlanta Falcons,72528.0,1119143,583184.0,535959.0
2018,2,Carolina Panthers,72528.0,1102756,590182.0,512574.0
2018,2,Denver Broncos,76696.0,1092324,611571.0,480753.0
2018,2,Kansas City Chiefs,63956.0,1107376,607780.0,499596.0
2018,2,Los Angeles Chargers,69187.0,803556,262145.0,541411.0
2018,2,New Orleans Saints,73086.0,1147700,584411.0,563289.0
2018,2,Tampa Bay Buccaneers,56552.0,999843,434855.0,564988.0
2019,2,Atlanta Falcons,72443.0,1099463,572811.0,526652.0
2019,2,Carolina Panthers,71101.0,1122333,577765.0,544568.0
2019,2,Denver Broncos,76885.0,1104191,607497.0,496694.0
