season,Tm,weeks_present,non_missing_attendance,missing_attendance,avg_attendance,min_attendance,max_attendance
2015,Atlanta Falcons,18,16,2,70916.9375,58221.0,90345.0
2015,Carolina Panthers,18,16,2,72355.5625,57468.0,90909.0
2015,Denver Broncos,18,16,2,71367.375,54500.0,77075.0
2015,Kansas City Chiefs,18,16,2,70675.4375,52480.0,83624.0
2015,New Orleans Saints,18,16,2,70939.1875,62138.0,75086.0
2015,Tampa Bay Buccaneers,18,16,2,65086.0,51295.0,74169.0
2016,Atlanta Falcons,18,16,2,69774.5,54081.0,82495.0
2016,Carolina Panthers,18,16,2,72480.0,54909.0,86109.0
2016,Denver Broncos,18,16,2,70871.4375,54957.0,76893.0
2016,Kansas City Chiefs,18,16,2,69700.875,54211.0,76819.0
2016,New Orleans Saints,18,16,2,71314.9375,60641.0,77727.0
2016,Tampa Bay Buccaneers,18,16,2,65912.5,53832.0,93101.0
2017,Atlanta Falcons,18,16,2,70191.125,61857.0,77562.0
2017,Carolina Panthers,18,16,2,70872.5625,58545.0,77562.0
2017,Denver Broncos,18,16,2,69161.875,25388.0,76919.0
2017,Kansas City Chiefs,18,16,2,70885.375,25386.0,93273.0
2017,Los Angeles Chargers,18,16,2,48960.4375,25015.0,93012.0
2017,New Orleans Saints,18,16,2,71627.875,55376.0,84423.0
2017,Tampa Bay Buccaneers,18,16,2,64810.0625,55376.0,77684.0
2018,Atlanta Falcons,18,16,2,69946.4375,52884.0,77329.0
2018,Carolina Panthers,18,16,2,68922.25,52568.0,74532.0
2018,Denver Broncos,18,16,2,68270.25,25462.0,77982.0
2018,Kansas City Chiefs,18,16,2,69211.0,25351.0,77550.0
2018,Los Angeles Chargers,18,16,2,50222.25,25343.0,84301.0
2018,New Orleans Saints,18,16,2,71731.25,52492.0,93004.0
2018,Tampa Bay Buccaneers,18,16,2,62490.1875,45134.0,92851.0
2019,Atlanta Falcons,18,16,2,68716.4375,50417.0,73283.0
2019,Carolina Panthers,18,16,2,70145.8125,60087.0,78090.0
2019,Denver Broncos,18,16,2,69011.9375,25357.0,78078.0
2019,Kansas City Chiefs,18,16,2,69735.6875,52748.0,76748.0
2019,Los Angeles Chargers,18,16,2,47540.25,25349.0,76252.0
2019,New Orleans Saints,18,16,2,69816.0625,54333.0,73283.0
2019,Tampa Bay Buccaneers,18,16,2,59316.75,40038.0,73029.0
2020,Atlanta Falcons,18,11,7,10280.363636363636,5240.0,21708.0
2020,Carolina Panthers,18,10,8,5595.8,1500.0,12073.0
2020,Denver Broncos,18,7,11,6733.285714285715,5226.0,12578.0
2020,Kansas City Chiefs,18,12,6,11879.083333333334,3000.0,15950.0
2020,Las Vegas Raiders,18,3,15,11135.666666666666,9124.0,13311.0
2020,Los Angeles Chargers,18,5,13,7670.8,749.0,13240.0
2020,New Orleans Saints,18,10,8,4842.9,748.0,15740.0
2020,Tampa Bay Buccaneers,18,10,8,12312.7,5226.0,16031.0
2021,Atlanta Falcons,18,17,1,69057.76470588235,60031.0,93436.0
2021,Carolina Panthers,18,17,1,70713.70588235294,62389.0,93262.0
2021,Denver Broncos,18,17,1,73169.4705882353,58461.0,93503.0
2021,Kansas City Chiefs,18,17,1,70173.23529411765,51322.0,76012.0
2021,Las Vegas Raiders,18,16,2,66795.75,59122.0,93483.0
2021,Los Angeles Chargers,18,17,1,67844.4705882353,51414.0,75807.0
2021,New Orleans Saints,18,17,1,65712.0,35242.0,70675.0
2021,Tampa Bay Buccaneers,18,16,2,66698.0625,52128.0,73205.0
2022,Atlanta Falcons,18,17,1,68687.11764705883,53864.0,72029.0
2022,Carolina Panthers,18,17,1,70671.35294117648,66160.0,73843.0
2022,Denver Broncos,18,17,1,73589.41176470589,62332.0,86215.0
2022,Kansas City Chiefs,18,17,1,70764.41176470589,62136.0,76072.0
2022,Las Vegas Raiders,18,17,1,66232.11764705883,61228.0,76056.0
2022,Los Angeles Chargers,18,17,1,69175.11764705883,62123.0,74035.0
2022,New Orleans Saints,18,17,1,68756.94117647059,60639.0,71275.0
2022,Tampa Bay Buccaneers,18,17,1,70362.82352941176,63393.0,93797.0
2023,Atlanta Falcons,18,17,1,69200.94117647059,61752.0,85716.0
2023,Carolina Panthers,18,17,1,68466.23529411765,61200.0,73543.0
2023,Denver Broncos,18,17,1,72172.05882352941,61429.0,76880.0
2023,Kansas City Chiefs,18,17,1,70932.17647058824,50023.0,80461.0
2023,Las Vegas Raiders,18,17,1,65355.35294117647,61429.0,76299.0
2023,Los Angeles Chargers,18,17,1,70055.23529411765,61654.0,77432.0
2023,New Orleans Saints,18,17,1,69932.29411764706,64628.0,78043.0
2023,Tampa Bay Buccaneers,18,17,1,67062.41176470589,62432.0,77275.0
2024,Atlanta Falcons,18,17,1,69728.4705882353,62364.0,76545.0
2024,Carolina Panthers,18,17,1,69156.17647058824,59307.0,77258.0
2024,Denver Broncos,18,16,2,71435.5625,62460.0,82243.0
2024,Kansas City Chiefs,18,16,2,71561.375,62533.0,73704.0
2024,Las Vegas Raiders,18,17,1,66047.4705882353,61323.0,73627.0
2024,Los Angeles Chargers,18,17,1,68872.4705882353,61352.0,73571.0
2024,New Orleans Saints,18,17,1,72185.94117647059,63001.0,93691.0
2024,Tampa Bay Buccaneers,18,17,1,68256.05882352941,62738.0,93103.0
