season,week,team_name_raw,team_abbr_raw,team_name_std,team_abbr_std,attendance
2015,1,Arizona Cardinals,ARI,Arizona Cardinals,ARI,62903
2015,2,Arizona Cardinals,ARI,Arizona Cardinals,ARI,62351
2015,3,Arizona Cardinals,ARI,Arizona Cardinals,ARI,63663
2015,4,Arizona Cardinals,ARI,Arizona Cardinals,ARI,63146
2015,5,Arizona Cardinals,ARI,Arizona Cardinals,ARI,60816
2015,6,Arizona Cardinals,ARI,Arizona Cardinals,ARI,63846
2015,7,Arizona Cardinals,ARI,Arizona Cardinals,ARI,64722
2015,8,Arizona Cardinals,ARI,Arizona Cardinals,ARI,67431
2015,10,Arizona Cardinals,ARI,Arizona Cardinals,ARI,69005
2015,11,Arizona Cardinals,ARI,Arizona Cardinals,ARI,64745
2015,12,Arizona Cardinals,ARI,Arizona Cardinals,ARI,70799
2015,13,Arizona Cardinals,ARI,Arizona Cardinals,ARI,51115
2015,14,Arizona Cardinals,ARI,Arizona Cardinals,ARI,64784
2015,15,Arizona Cardinals,ARI,Arizona Cardinals,ARI,69596
2015,16,Arizona Cardinals,ARI,Arizona Cardinals,ARI,64878
2015,17,Arizona Cardinals,ARI,Arizona Cardinals,ARI,64646
2015,1,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70516
2015,2,Atlanta Falcons,ATL,Atlanta Falcons,ATL,77678
2015,3,Atlanta Falcons,ATL,Atlanta Falcons,ATL,90345
2015,4,Atlanta Falcons,ATL,Atlanta Falcons,ATL,69904
2015,5,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70178
2015,6,Atlanta Falcons,ATL,Atlanta Falcons,ATL,73018
2015,7,Atlanta Falcons,ATL,Atlanta Falcons,ATL,63329
2015,8,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70524
2015,9,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70799
2015,11,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70433
2015,12,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70610
2015,13,Atlanta Falcons,ATL,Atlanta Falcons,ATL,58221
2015,14,Atlanta Falcons,ATL,Atlanta Falcons,ATL,74420
2015,15,Atlanta Falcons,ATL,Atlanta Falcons,ATL,64016
2015,16,Atlanta Falcons,ATL,Atlanta Falcons,ATL,70981
2015,17,Atlanta Falcons,ATL,Atlanta Falcons,ATL,69699
2015,1,Baltimore Ravens,BAL,Baltimore Ravens,BAL,76798
2015,2,Baltimore Ravens,BAL,Baltimore Ravens,BAL,53500
2015,3,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70970
2015,4,Baltimore Ravens,BAL,Baltimore Ravens,BAL,63929
2015,5,Baltimore Ravens,BAL,Baltimore Ravens,BAL,71046
2015,6,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70799
2015,7,Baltimore Ravens,BAL,Baltimore Ravens,BAL,64722
2015,8,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70829
2015,10,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70837
2015,11,Baltimore Ravens,BAL,Baltimore Ravens,BAL,71105
2015,12,Baltimore Ravens,BAL,Baltimore Ravens,BAL,64380
2015,13,Baltimore Ravens,BAL,Baltimore Ravens,BAL,64519
2015,14,Baltimore Ravens,BAL,Baltimore Ravens,BAL,71179
2015,15,Baltimore Ravens,BAL,Baltimore Ravens,BAL,70791
2015,16,Baltimore Ravens,BAL,Baltimore Ravens,BAL,71261
