game_id,season,game_type,week,game_date,kickoff_time_raw,away_team_abbr,away_team_name,away_team_raw,home_team_abbr,home_team_name,home_team_raw,venue_clean,venue_raw,home_stadium_venue,weather_match_venue,weather_match_type,game_city,game_country,is_neutral_site,is_international,attendance,attendance_source_row_count,season_exists_in_attendance,season_week_exists_in_attendance,season_week_team_exists_in_attendance,matched_flag,unmatched_reason
2015_POST_18_KC_HOU_20160109,2015,POST,18,2016-01-09,16:35,KC,Kansas City Chiefs,KC,HOU,Houston Texans,HOU,NRG Stadium,NRG Stadium,NRG Stadium,NRG Stadium,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_POST_18_PIT_CIN_20160109,2015,POST,18,2016-01-09,20:15,PIT,Pittsburgh Steelers,PIT,CIN,Cincinnati Bengals,CIN,Paycor Stadium,Paul Brown Stadium,Paycor Stadium,Paycor Stadium,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_POST_18_GB_WSH_20160110,2015,POST,18,2016-01-10,16:40,GB,Green Bay Packers,GB,WSH,Washington Commanders,WAS,Northwest Stadium,FedExField,Northwest Stadium,Northwest Stadium,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_POST_18_SEA_MIN_20160110,2015,POST,18,2016-01-10,13:05,SEA,Seattle Seahawks,SEA,MIN,Minnesota Vikings,MIN,TCF Bank Stadium,TCF Bank Stadium,U.S. Bank Stadium,TCF Bank Stadium,actual_game_venue,,United States,True,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_POST_19_GB_ARI_20160116,2015,POST,19,2016-01-16,20:15,GB,Green Bay Packers,GB,ARI,Arizona Cardinals,ARI,State Farm Stadium,University of Phoenix Stadium,State Farm Stadium,State Farm Stadium,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_POST_19_KC_NE_20160116,2015,POST,19,2016-01-16,16:35,KC,Kansas City Chiefs,KC,NE,New England Patriots,NE,Gillette Stadium,Gillette Stadium,Gillette Stadium,Gillette Stadium,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_POST_19_PIT_DEN_20160117,2015,POST,19,2016-01-17,16:40,PIT,Pittsburgh Steelers,PIT,DEN,Denver Broncos,DEN,Empower Field at Mile High,Sports Authority Field at Mile High,Empower Field at Mile High,Empower Field at Mile High,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_POST_19_SEA_CAR_20160117,2015,POST,19,2016-01-17,13:05,SEA,Seattle Seahawks,SEA,CAR,Carolina Panthers,CAR,Bank of America Stadium,Bank of America Stadium,Bank of America Stadium,Bank of America Stadium,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_CON_20_ARI_CAR_20160124,2015,CON,20,2016-01-24,18:40,ARI,Arizona Cardinals,ARI,CAR,Carolina Panthers,CAR,Bank of America Stadium,Bank of America Stadium,Bank of America Stadium,Bank of America Stadium,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_CON_20_NE_DEN_20160124,2015,CON,20,2016-01-24,15:05,NE,New England Patriots,NE,DEN,Denver Broncos,DEN,Empower Field at Mile High,Sports Authority Field at Mile High,Empower Field at Mile High,Empower Field at Mile High,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2015_POST_21_CAR_DEN_20160207,2015,POST,21,2016-02-07,18:30,CAR,Carolina Panthers,CAR,DEN,Denver Broncos,DEN,Levi's Stadium,Levi's Stadium,Empower Field at Mile High,Levi's Stadium,actual_game_venue,,United States,True,False,,,True,False,False,False,season_week_not_found_in_attendance
2016_POST_18_DET_SEA_20170107,2016,POST,18,2017-01-07,20:15,DET,Detroit Lions,DET,SEA,Seattle Seahawks,SEA,Lumen Field,CenturyLink Field,Lumen Field,Lumen Field,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
2016_POST_18_LV_HOU_20170107,2016,POST,18,2017-01-07,16:35,LV,Las Vegas Raiders,OAK,HOU,Houston Texans,HOU,NRG Stadium,NRG Stadium,NRG Stadium,NRG Stadium,home_team_primary_stadium,,United States,False,False,,,True,False,False,False,season_week_not_found_in_attendance
