raw_team_value,team_abbr_standard,team_name_standard
ARI,ARI,Arizona Cardinals
ATL,ATL,Atlanta Falcons
BAL,BAL,Baltimore Ravens
BUF,BUF,Buffalo Bills
CAR,CAR,Carolina Panthers
CHI,CHI,Chicago Bears
CIN,CIN,Cincinnati Bengals
CLE,CLE,Cleveland Browns
DAL,DAL,Dallas Cowboys
DEN,DEN,Denver Broncos
DET,DET,Detroit Lions
GB,GB,Green Bay Packers
HOU,HOU,Houston Texans
IND,IND,Indianapolis Colts
JAX,JAX,Jacksonville Jaguars
KC,KC,Kansas City Chiefs
LAC,LAC,Los Angeles Chargers
SD,LAC,Los Angeles Chargers
LA,LAR,Los Angeles Rams
STL,LAR,Los Angeles Rams
LV,LV,Las Vegas Raiders
OAK,LV,Las Vegas Raiders
MIA,MIA,Miami Dolphins
MIN,MIN,Minnesota Vikings
NE,NE,New England Patriots
NO,NO,New Orleans Saints
NYG,NYG,New York Giants
NYJ,NYJ,New York Jets
PHI,PHI,Philadelphia Eagles
PIT,PIT,Pittsburgh Steelers
SEA,SEA,Seattle Seahawks
SF,SF,San Francisco 49ers
TB,TB,Tampa Bay Buccaneers
TEN,TEN,Tennessee Titans
WAS,WSH,Washington Commanders
