venue_id,venue_name,city,state_or_region,country,indoor_flag,roof_type,timezone_str,latitude,longitude,neutral_site_flag,international_flag
1,AT&T Stadium,Arlington,Texas,United States,True,dome,America/Chicago,32.7473,-97.0945,False,False
2,Acrisure Stadium,Pittsburgh,Pennsylvania,United States,False,outdoors,America/New_York,40.4468,-80.0158,False,False
3,Allegiant Stadium,Las Vegas,Nevada,United States,True,dome,America/Los_Angeles,36.0908,-115.183,True,False
4,Allianz Arena,Munich,Bavaria,Germany,False,outdoors,Europe/Berlin,48.2188,11.6247,True,True
5,Arena Corinthians,Sao Paulo,Sao Paulo,United States,False,outdoors,America/Sao_Paulo,-23.5453,-46.474,True,False
6,Arrowhead Stadium,Kansas City,Missouri,United States,False,outdoors,America/Chicago,39.0489,-94.4839,False,False
7,Bank of America Stadium,Charlotte,North Carolina,United States,False,outdoors,America/New_York,35.2258,-80.8528,False,False
8,Caesars Superdome,New Orleans,Louisiana,United States,True,dome,America/Chicago,29.9511,-90.0812,True,False
9,Deutsche Bank Park,Frankfurt,Hesse,Germany,False,outdoors,Europe/Berlin,50.0686,8.6455,True,True
10,Edward Jones Dome,St. Louis,Missouri,United States,True,dome,America/Chicago,38.6329,-90.1887,True,False
11,Empower Field at Mile High,Denver,Colorado,United States,False,outdoors,America/Denver,39.7439,-105.0201,False,False
12,Estadio Azteca,Mexico City,Mexico City,Mexico,False,outdoors,America/Mexico_City,19.3029,-99.1505,True,True
13,EverBank Stadium,Jacksonville,Florida,United States,False,outdoors,America/New_York,30.3239,-81.6373,False,False
14,Ford Field,Detroit,Michigan,United States,True,dome,America/Detroit,42.34,-83.0456,True,False
15,Georgia Dome,Atlanta,Georgia,United States,True,dome,America/New_York,33.7573,-84.4008,True,False
16,Gillette Stadium,Foxborough,Massachusetts,United States,False,outdoors,America/New_York,42.0909,-71.2643,False,False
17,Hard Rock Stadium,Miami Gardens,Florida,United States,False,outdoors,America/New_York,25.958,-80.2389,True,False
18,Highmark Stadium,Orchard Park,New York,United States,False,outdoors,America/New_York,42.7738,-78.7868,False,False
19,Huntington Bank Field,Cleveland,Ohio,United States,False,outdoors,America/New_York,41.5061,-81.6995,False,False
20,Lambeau Field,Green Bay,Wisconsin,United States,False,outdoors,America/Chicago,44.5013,-88.0622,False,False
21,Levi's Stadium,Santa Clara,California,United States,False,outdoors,America/Los_Angeles,37.403,-121.97,True,False
22,Lincoln Financial Field,Philadelphia,Pennsylvania,United States,False,outdoors,America/New_York,39.9008,-75.1675,False,False
23,Los Angeles Memorial Coliseum,Los Angeles,California,United States,False,outdoors,America/Los_Angeles,34.0141,-118.2879,True,False
24,Lucas Oil Stadium,Indianapolis,Indiana,United States,True,dome,America/Indiana/Indianapolis,39.7601,-86.1639,False,False
25,Lumen Field,Seattle,Washington,United States,False,outdoors,America/Los_Angeles,47.5952,-122.3316,False,False
26,M&T Bank Stadium,Baltimore,Maryland,United States,False,outdoors,America/New_York,39.278,-76.6227,False,False
27,Mercedes-Benz Stadium,Atlanta,Georgia,United States,True,dome,America/New_York,33.7554,-84.4009,True,False
28,MetLife Stadium,East Rutherford,New Jersey,United States,False,outdoors,America/New_York,40.8135,-74.0745,False,False
29,NRG Stadium,Houston,Texas,United States,True,dome,America/Chicago,29.6847,-95.4107,True,False
30,Nissan Stadium,Nashville,Tennessee,United States,False,outdoors,America/Chicago,36.1665,-86.7713,False,False
31,Northwest Stadium,Landover,Maryland,United States,False,outdoors,America/New_York,38.9078,-76.8644,False,False
32,O.co Coliseum,Oakland,California,United States,False,outdoors,America/Los_Angeles,37.7516,-122.2005,True,False
33,Oakland Coliseum,Oakland,California,United States,False,outdoors,America/Los_Angeles,37.7516,-122.2005,True,False
34,Paycor Stadium,Cincinnati,Ohio,United States,False,outdoors,America/New_York,39.0955,-84.516,False,False
35,Qualcomm Stadium,San Diego,California,United States,False,outdoors,America/Los_Angeles,32.7831,-117.1195,True,False
36,Raymond James Stadium,Tampa,Florida,United States,False,outdoors,America/New_York,27.9759,-82.5033,False,False
37,Ring Central Coliseum,Oakland,California,United States,False,outdoors,America/Los_Angeles,37.7516,-122.2005,True,False
38,SoFi Stadium,Inglewood,California,United States,True,dome,America/Los_Angeles,33.9535,-118.3392,True,False
39,Soldier Field,Chicago,Illinois,United States,False,outdoors,America/Chicago,41.8623,-87.6167,False,False
40,State Farm Stadium,Glendale,Arizona,United States,True,dome,America/Phoenix,33.5276,-112.2626,True,False
41,StubHub Center,Carson,California,United States,False,outdoors,America/Los_Angeles,33.8644,-118.2611,True,False
42,TCF Bank Stadium,Minneapolis,Minnesota,United States,False,outdoors,America/Chicago,44.976,-93.2247,True,False
43,TIAA Bank Stadium,Jacksonville,Florida,United States,False,outdoors,America/New_York,30.3239,-81.6373,True,False
44,Tottenham Hotspur Stadium,London,England,United Kingdom,False,outdoors,Europe/London,51.6043,-0.0664,True,True
45,Twickenham Stadium,London,England,United States,False,outdoors,Europe/London,51.4559,-0.3417,True,False
46,U.S. Bank Stadium,Minneapolis,Minnesota,United States,True,dome,America/Chicago,44.9738,-93.2575,True,False
47,Wembley Stadium,London,England,United Kingdom,False,outdoors,Europe/London,51.556,-0.2796,True,True
