game_id,date_id,home_team_id,away_team_id,venue_id,attendance,start_time,season,week,game_type
2015_REG_01_BAL_DEN_20150913,20150913,10,3,11,76798,16:25,2015,1,REG
2015_REG_01_CAR_JAX_20150913,20150913,15,5,13,60733,13:00,2015,1,REG
2015_REG_01_CIN_LV_20150913,20150913,19,7,32,54500,16:25,2015,1,REG
2015_REG_01_CLE_NYJ_20150913,20150913,25,8,28,78160,13:00,2015,1,REG
2015_REG_01_DET_LAC_20150913,20150913,17,11,35,66093,16:05,2015,1,REG
2015_REG_01_GB_CHI_20150913,20150913,6,12,39,62442,13:00,2015,1,REG
2015_REG_01_IND_BUF_20150913,20150913,4,14,18,70319,13:00,2015,1,REG
2015_REG_01_KC_HOU_20150913,20150913,13,16,29,71776,13:00,2015,1,REG
2015_REG_01_MIA_WSH_20150913,20150913,32,20,31,76512,13:00,2015,1,REG
2015_REG_01_MIN_SF_20150914,20150914,29,21,21,70499,22:20,2015,1,REG
2015_REG_01_NO_ARI_20150913,20150913,1,23,40,62903,16:05,2015,1,REG
2015_REG_01_NYG_DAL_20150913,20150913,9,24,1,93579,20:30,2015,1,REG
2015_REG_01_PHI_ATL_20150914,20150914,2,26,15,70516,19:10,2015,1,REG
2015_REG_01_PIT_NE_20150910,20150910,22,27,16,66829,20:30,2015,1,REG
2015_REG_01_SEA_LAR_20150913,20150913,18,28,10,51792,13:00,2015,1,REG
2015_REG_01_TEN_TB_20150913,20150913,30,31,36,63945,16:25,2015,1,REG
2015_REG_02_ARI_CHI_20150920,20150920,6,1,39,62351,13:00,2015,2,REG
2015_REG_02_ATL_NYG_20150920,20150920,24,2,28,77678,13:00,2015,2,REG
2015_REG_02_BAL_LV_20150920,20150920,19,3,32,53500,16:05,2015,2,REG
2015_REG_02_DAL_PHI_20150920,20150920,26,9,22,69296,16:25,2015,2,REG
2015_REG_02_DEN_KC_20150917,20150917,16,10,6,76404,20:25,2015,2,REG
2015_REG_02_DET_MIN_20150920,20150920,21,11,42,52319,13:00,2015,2,REG
2015_REG_02_HOU_CAR_20150920,20150920,5,13,7,73254,13:00,2015,2,REG
2015_REG_02_LAC_CIN_20150920,20150920,7,17,34,57579,13:00,2015,2,REG
2015_REG_02_LAR_WSH_20150920,20150920,32,18,31,72460,13:00,2015,2,REG
