Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,1063084,513741.0,549343.0,60957.0,63137,65102,64121,69596.0,63999.0,73736.0,,70133.0,64639.0,71680.0,63891,63986,64153,71026,63850,69078
Atlanta Falcons,1123058,575681.0,547377.0,61857.0,70826,63240,71273,,70593.0,65878.0,77562.0,74244.0,73761.0,69026.0,71036,71185,72866,62382,73188,74141
Baltimore Ravens,1088056,564709.0,523347.0,55254.0,70605,84592,71126,54980.0,70616.0,66751.0,70408.0,67322.0,,77945.0,70357,70500,60069,56434,70590,70507
Buffalo Bills,1040917,534200.0,506717.0,68751.0,74122,68865,71273,52367.0,,68561.0,69599.0,77562.0,67501.0,25015.0,74929,68499,60222,62202,65878,65571
Carolina Panthers,1133961,588942.0,545019.0,70178.0,74122,73775,65878,64288.0,74373.0,61256.0,58545.0,74244.0,72790.0,,77562,73171,73728,74447,71463,74141
Chicago Bears,1021219,488137.0,533082.0,61857.0,56640,61172,78362,61834.0,70616.0,61256.0,73192.0,,61285.0,60635.0,69596,61302,52002,65872,58796,66802
Cincinnati Bengals,978253,425937.0,552316.0,55254.0,52942,78323,67431,52367.0,,65363.0,57901.0,60720.0,67432.0,75707.0,51710,56029,52002,66833,47732,70507
Cleveland Browns,968007,511060.0,456947.0,67431.0,70605,63351,67431,62032.0,71815.0,59061.0,74237.0,,64646.0,57003.0,51710,25320,67431,56434,58796,50704
Dallas Cowboys,1309211,741775.0,567436.0,93183.0,76919,65102,91869,93329.0,,70133.0,78428.0,93273.0,73761.0,93247.0,93012,91712,78125,55372,92150,69596
Denver Broncos,1106590,610846.0,495744.0,76324.0,76919,68865,76909,,76721.0,25388.0,76573.0,69596.0,76820.0,75707.0,53930,65092,75518,63411,72889,75928
Detroit Lions,1046765,513100.0,533665.0,60957.0,77004,63240,66730,64288.0,73117.0,,64983.0,77575.0,64646.0,60635.0,66613,70500,60372,65872,47732,62501
Green Bay Packers,1183556,624742.0,558814.0,78381.0,70826,78323,78362,93329.0,66848.0,78380.0,,77575.0,61285.0,77945.0,62147,77684,67431,74447,78092,62501
Houston Texans,1080447,574197.0,506250.0,71710.0,52942,65878,71804,71835.0,71815.0,,69025.0,71709.0,60032.0,71680.0,70357,62758,71802,64701,71842,60557
Indianapolis Colts,1022042,507525.0,514517.0,60128.0,63137,63351,68872,65612.0,63888.0,63104.0,57901.0,71709.0,66146.0,,62207,61207,60222,63411,70590,60557
Jacksonville Jaguars,1049568,514427.0,535141.0,71710.0,61709,84592,77562,66237.0,56232.0,63104.0,,60720.0,60835.0,57003.0,63891,61207,64431,64701,70133,65501
Kansas City Chiefs,1134166,592851.0,541315.0,65878.0,74971,25386,74587,71835.0,76994.0,55090.0,76573.0,93273.0,,76363.0,74929,77562,74461,75011,65325,75928
Los Angeles Chargers,783367,202687.0,580680.0,76324.0,25381,25386,25374,77373.0,54685.0,25388.0,65878.0,,60835.0,25015.0,93012,25320,25393,75011,77562,25430
Los Angeles Rams,1062261,507136.0,555125.0,60128.0,56612,70178,91869,60745.0,56232.0,73736.0,,76877.0,60032.0,66809.0,62006,63986,67752,69077,60097,66125
Miami Dolphins,1051161,541022.0,510139.0,,25381,77562,84423,65135.0,70593.0,65025.0,70408.0,65139.0,72790.0,65089.0,65878,65092,65548,62202,65325,65571
Minnesota Vikings,1099905,533769.0,566136.0,66606.0,65971,66390,66730,61834.0,66848.0,66751.0,74237.0,,74476.0,66809.0,66613,71185,73728,66833,78092,66802
New England Patriots,1099028,527024.0,572004.0,65878.0,73168,65878,65878,64476.0,77562.0,65878.0,65878.0,,76820.0,77357.0,65878,68499,65548,68574,65878,65878
New Orleans Saints,1146046,585113.0,560933.0,66606.0,73168,73775,84423,,73117.0,78380.0,73192.0,73121.0,67501.0,73138.0,62006,73171,72866,73018,73188,55376
New York Giants,1183037,617434.0,565603.0,93183.0,77004,69596,63916,77373.0,76721.0,78527.0,,76877.0,70133.0,76363.0,73210,54994,78125,76896,63850,76269
New York Jets,1143358,620496.0,522862.0,68751.0,54729,77562,77562,62032.0,77562.0,65025.0,77562.0,77562.0,57911.0,,77562,77562,75518,73018,77562,65878
Oakland Raiders,988483,461137.0,527346.0,69089.0,54729,77123,76909,54980.0,54685.0,55090.0,69599.0,65139.0,,77357.0,53930,54994,74461,55372,69596,25430
Philadelphia Eagles,1117141,556768.0,560373.0,78685.0,74971,69596,25374,69596.0,74373.0,69596.0,69596.0,69596.0,,93247.0,69596,69075,67752,76896,69596,69596
