Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,1141794,586830.0,554964.0,63697,61707,63243,69810,63919,68867.0,63290.0,66742.0,63982.0,71752.0,78427.0,63628,,63251.0,75179,63393,69269.0,71638
Atlanta Falcons,1167681,626248.0,541433.0,70078,71802,68773,69435,68299,69813.0,66158.0,68996.0,69299.0,72029.0,69757.0,53864,70325.0,,70041,70467,69269.0,69276
Baltimore Ravens,1185526,564714.0,620812.0,78827,70582,65878,70494,70548,78019.0,70461.0,68912.0,70010.0,,70677.0,59560,70443.0,66326.0,67431,70467,71042.0,65849
Buffalo Bills,1107077,547450.0,559627.0,73846,70683,66206,70494,70764,73586.0,,70863.0,83135.0,70844.0,52146.0,66553,65878.0,70603.0,70794,59929,,70753
Carolina Panthers,1201413,642167.0,559246.0,72205,73843,70496,69810,72321,71482.0,71941.0,68996.0,66160.0,72029.0,70677.0,70644,,68672.0,73548,69173,69298.0,70118
Chicago Bears,1131267,538410.0,592857.0,62159,78350,60592,74044,66929,61873.0,65878.0,93767.0,62377.0,61817.0,69757.0,77963,61233.0,,48423,59929,66169.0,60007
Cincinnati Bengals,1109393,463733.0,645660.0,65841,92944,73708,67260,70548,70004.0,66158.0,67431.0,66160.0,,66401.0,69441,66243.0,66222.0,69305,65878,,65849
Cleveland Browns,1118849,539448.0,579401.0,72205,67431,67431,69435,67431,67431.0,70461.0,67431.0,,66563.0,52146.0,67431,66523.0,66222.0,67431,67431,50827.0,65019
Dallas Cowboys,1409563,841192.0,568371.0,93797,92944,79445,92946,74154,69879.0,93487.0,93767.0,,78433.0,65304.0,93568,93086.0,93843.0,69050,93754,69292.0,62814
Denver Broncos,1251020,607845.0,643175.0,68965,76191,77021,62332,76667,70240.0,76624.0,86215.0,,69240.0,76056.0,70644,70443.0,76072.0,75179,71525,73571.0,74035
Detroit Lions,1157336,570809.0,586527.0,64537,57687,66638,63920,65878,,93487.0,61447.0,63379.0,61817.0,76267.0,66553,60743.0,66374.0,75076,69173,66169.0,78191
Green Bay Packers,1213888,685623.0,528265.0,66959,78350,69197,78317,61024,78343.0,60427.0,70863.0,63379.0,78433.0,77506.0,69879,61233.0,,77269,66328,78190.0,78191
Houston Texans,1163275,543294.0,619981.0,69415,76191,60592,69071,60018,,61228.0,68467.0,68831.0,71615.0,65865.0,66205,66523.0,93843.0,70541,66634,64581.0,63655
Indianapolis Colts,1163736,524474.0,639262.0,69415,58360,65975,65781,76667,65749.0,69459.0,65515.0,65878.0,62197.0,66241.0,65982,93086.0,,66801,65576,77399.0,63655
Jacksonville Jaguars,1130728,531675.0,599053.0,58192,58360,67964,69879,60018,65749.0,65664.0,86215.0,62758.0,73493.0,,59560,60743.0,68409.0,69050,70043,64581.0,70050
Kansas City Chiefs,1202995,587997.0,614998.0,63697,73461,65975,68348,73523,73586.0,71746.0,,73475.0,73493.0,70240.0,73557,66243.0,76072.0,70541,73331,73571.0,62136
Las Vegas Raiders,1125946,496363.0,629583.0,70240,61707,68649,62332,73523,,61228.0,70009.0,62758.0,62197.0,76056.0,68849,62123.0,74738.0,62273,64761,62367.0,62136
Los Angeles Chargers,1175977,559644.0,616333.0,70240,73461,67964,69071,67431,70240.0,70240.0,,69299.0,71709.0,70240.0,63628,62123.0,70240.0,70240,65576,70240.0,74035
Los Angeles Rams,1218216,654606.0,563610.0,73846,71802,63243,71597,74154,71482.0,,73505.0,69019.0,71752.0,70025.0,73557,71802.0,74738.0,77269,71525,70240.0,68660
Miami Dolphins,1152651,529841.0,622810.0,65786,70582,66206,67260,82500,66100.0,66224.0,61447.0,62377.0,66563.0,,66205,71732.0,70240.0,70794,66328,65878.0,66429
Minnesota Vikings,1130867,600183.0,530684.0,66959,69879,66638,60639,66929,66100.0,,66742.0,58651.0,70844.0,65304.0,66918,66973.0,66374.0,66801,66919,78190.0,60007
New England Patriots,1151883,527024.0,624859.0,65786,67307,65878,78317,65878,67431.0,65878.0,82823.0,65878.0,,65878.0,66918,65878.0,63251.0,62273,65878,65878.0,70753
New Orleans Saints,1168868,621249.0,547619.0,70078,70400,70496,60639,70003,70004.0,63290.0,70009.0,70010.0,66544.0,70025.0,71275,68709.0,,70041,67431,69796.0,70118
New York Giants,1243963,688266.0,555697.0,67805,73843,79445,74044,61024,78019.0,65664.0,68921.0,,71615.0,76267.0,93568,76128.0,81506.0,61917,66919,77399.0,69879
New York Jets,1251761,624075.0,627686.0,78827,67431,73708,66578,82500,78343.0,76624.0,82823.0,83135.0,,65878.0,77963,66973.0,70603.0,75076,70043,68827.0,66429
Philadelphia Eagles,1180465,628828.0,551637.0,64537,69879,64426,69879,63919,69879.0,,69879.0,68831.0,69879.0,66241.0,69879,69879.0,81506.0,48423,93754,69796.0,69879
Pittsburgh Steelers,1151279,530243.0,621036.0,65841,67307,67431,66578,70764,67307.0,66224.0,69879.0,,66544.0,66401.0,65982,70325.0,66326.0,73548,64761,71042.0,65019
San Francisco 49ers,1209231,644661.0,564570.0,62159,71597,77021,71597,72321,69813.0,71746.0,73505.0,,71709.0,78427.0,71275,71732.0,71725.0,68957,71642,62367.0,71638
Seattle Seahawks,1174177,619491.0,554686.0,68965,71597,68773,63920,70003,68867.0,70240.0,68921.0,63982.0,69811.0,,68849,71802.0,68672.0,68957,73331,68827.0,68660
Tampa Bay Buccaneers,1196168,620898.0,575270.0,93797,70400,69197,68348,68299,67307.0,71941.0,68912.0,69019.0,69811.0,,67431,68709.0,71725.0,69305,63393,69298.0,69276
Tennessee Titans,1166846,548929.0,617917.0,67805,70683,68649,65781,51836,,69459.0,68467.0,73475.0,69240.0,77506.0,69441,69879.0,68409.0,70240,66634,69292.0,70050
Washington Commanders,1084489,522954.0,561535.0,58192,57687,64426,92946,51836,61873.0,60427.0,65515.0,58651.0,69879.0,65865.0,53864,76128.0,,61917,71642,50827.0,62814
