season,game_type,games,games_with_attendance,games_missing_attendance
2015,CON,2,0,2
2015,DIV,4,0,4
2015,REG,256,0,256
2015,SB,1,0,1
2015,WC,4,0,4
2016,CON,2,0,2
2016,DIV,4,0,4
2016,REG,256,0,256
2016,SB,1,0,1
2016,WC,4,0,4
2017,CON,2,0,2
2017,DIV,4,0,4
2017,REG,256,0,256
2017,SB,1,0,1
2017,WC,4,0,4
2018,CON,2,0,2
2018,DIV,4,0,4
2018,REG,256,0,256
2018,SB,1,0,1
2018,WC,4,0,4
2019,CON,2,0,2
2019,DIV,4,0,4
2019,REG,256,0,256
2019,SB,1,0,1
2019,WC,4,0,4
2020,CON,2,0,2
2020,DIV,4,0,4
2020,REG,256,0,256
2020,SB,1,0,1
2020,WC,6,0,6
2021,CON,2,0,2
2021,DIV,4,0,4
2021,REG,272,0,272
2021,SB,1,0,1
2021,WC,6,0,6
2022,CON,2,0,2
2022,DIV,4,0,4
2022,REG,271,0,271
2022,SB,1,0,1
2022,WC,6,0,6
2023,CON,2,0,2
2023,DIV,4,0,4
2023,REG,272,0,272
2023,SB,1,0,1
2023,WC,6,0,6
2024,CON,2,0,2
2024,DIV,4,0,4
2024,REG,272,0,272
2024,SB,1,0,1
2024,WC,6,0,6
2025,CON,2,0,2
2025,DIV,4,0,4
2025,REG,272,0,272
2025,SB,1,0,1
2025,WC,6,0,6
