game_id,weather_timestamp,temperature,precipitation,wind_speed,weather_condition,weather_source_method,venue_name,latitude,longitude,temperature_max,temperature_min,temperature_avg,apparent_temperature,apparent_temperature_max,apparent_temperature_min,apparent_temperature_avg,rainfall,snowfall,snow_depth,wind_gust,wind_direction,sunshine,weather_code
2015_REG_01_BAL_DEN_20150913,2015-09-13 12:00:00,71.2,0.0,9.4,WMO_3,open_meteo_daily_by_venue_coordinates,Empower Field at Mile High,39.7439,-105.0201,88.3,55.7,71.2,66.3,85.2,48.8,66.3,0.0,0.0,0.0,21.5,247.0,22.95,3.0
2015_REG_01_CAR_JAX_20150913,2015-09-13 12:00:00,74.9,0.024,6.3,WMO_51|PRECIP,open_meteo_daily_by_venue_coordinates,EverBank Stadium,30.3239,-81.6373,81.2,71.0,74.9,80.7,86.9,76.1,80.7,0.024,0.0,0.0,17.9,297.0,19.76,51.0
2015_REG_01_CIN_LV_20150913,2015-09-13 12:00:00,69.7,0.0,9.6,WMO_3,open_meteo_daily_by_venue_coordinates,O.co Coliseum,37.7516,-122.2005,86.4,61.4,69.7,69.7,86.3,61.7,69.7,0.0,0.0,0.0,17.9,243.0,17.34,3.0
2015_REG_01_CLE_NYJ_20150913,2015-09-13 12:00:00,68.4,0.35,9.9,WMO_63|PRECIP,open_meteo_daily_by_venue_coordinates,MetLife Stadium,40.8135,-74.0745,72.1,66.0,68.4,71.1,73.2,65.3,71.1,0.35,0.0,0.0,18.8,222.0,8.86,63.0
2015_REG_01_DET_LAC_20150913,2015-09-13 12:00:00,78.4,0.0,10.4,WMO_0,open_meteo_daily_by_venue_coordinates,Qualcomm Stadium,32.7831,-117.1195,86.1,73.0,78.4,84.1,90.5,80.3,84.1,0.0,0.0,0.0,26.2,262.0,23.12,0.0
2015_REG_01_GB_CHI_20150913,2015-09-13 12:00:00,58.9,0.0,7.7,WMO_2,open_meteo_daily_by_venue_coordinates,Soldier Field,41.8623,-87.6167,67.1,52.4,58.9,55.8,64.3,49.2,55.8,0.0,0.0,0.0,17.7,297.0,20.58,2.0
2015_REG_01_IND_BUF_20150913,2015-09-13 12:00:00,54.6,0.839,13.7,WMO_61|PRECIP,open_meteo_daily_by_venue_coordinates,Highmark Stadium,42.7738,-78.7868,56.4,53.2,54.6,50.5,52.6,48.9,50.5,0.839,0.0,0.0,27.7,302.0,5.26,61.0
2015_REG_01_KC_HOU_20150913,2015-09-13 12:00:00,70.0,0.0,0.0,INDOOR,open_meteo_indoor_controlled_daily_values,NRG Stadium,29.6847,-95.4107,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_REG_01_MIA_WSH_20150913,2015-09-13 12:00:00,65.2,0.043,10.4,WMO_55|PRECIP,open_meteo_daily_by_venue_coordinates,Northwest Stadium,38.9078,-76.8644,72.3,60.0,65.2,63.7,71.7,58.5,63.7,0.043,0.0,0.0,25.9,293.0,17.14,55.0
2015_REG_01_MIN_SF_20150914,2015-09-14 12:00:00,66.6,0.004,9.9,WMO_51|PRECIP,open_meteo_daily_by_venue_coordinates,Levi's Stadium,37.403,-121.97,83.1,60.2,66.6,66.1,83.1,58.7,66.1,0.004,0.0,0.0,24.8,195.0,16.46,51.0
