game_id,weather_timestamp,temperature,precipitation,wind_speed,weather_condition,weather_source_method,venue_name,latitude,longitude,station_id,station_name,station_distance_miles,temperature_max,temperature_min,temperature_avg,dew_point,relative_humidity,snow_depth,snowfall,sea_level_pressure,sunshine,weather_code,feels_like_temperature
2015_REG_01_BAL_DEN_20150913,2015-09-13 12:00:00,,,,,station_lookup_error,Empower Field at Mile High,39.7439,-105.0201,,,,,,,,,,,,,,
2015_REG_01_CAR_JAX_20150913,2015-09-13 12:00:00,,,,,station_lookup_error,EverBank Stadium,30.3239,-81.6373,,,,,,,,,,,,,,
2015_REG_01_CIN_LV_20150913,2015-09-13 12:00:00,,,,,station_lookup_error,O.co Coliseum,37.7516,-122.2005,,,,,,,,,,,,,,
2015_REG_01_CLE_NYJ_20150913,2015-09-13 12:00:00,,,,,station_lookup_error,MetLife Stadium,40.8135,-74.0745,,,,,,,,,,,,,,
2015_REG_01_DET_LAC_20150913,2015-09-13 12:00:00,,,,,station_lookup_error,Qualcomm Stadium,32.7831,-117.1195,,,,,,,,,,,,,,
2015_REG_01_GB_CHI_20150913,2015-09-13 12:00:00,,,,,station_lookup_error,Soldier Field,41.8623,-87.6167,,,,,,,,,,,,,,
2015_REG_01_IND_BUF_20150913,2015-09-13 12:00:00,,,,,station_lookup_error,Highmark Stadium,42.7738,-78.7868,,,,,,,,,,,,,,
2015_REG_01_KC_HOU_20150913,2015-09-13 12:00:00,70.0,0.0,0.0,INDOOR,indoor_controlled_daily_values,NRG Stadium,29.6847,-95.4107,,,,70.0,70.0,70.0,,,,,,,,70.0
2015_REG_01_MIA_WSH_20150913,2015-09-13 12:00:00,,,,,station_lookup_error,Northwest Stadium,38.9078,-76.8644,,,,,,,,,,,,,,
2015_REG_01_MIN_SF_20150914,2015-09-14 12:00:00,,,,,station_lookup_error,Levi's Stadium,37.403,-121.97,,,,,,,,,,,,,,
2015_REG_01_NO_ARI_20150913,2015-09-13 12:00:00,70.0,0.0,0.0,INDOOR,indoor_controlled_daily_values,State Farm Stadium,33.5276,-112.2626,,,,70.0,70.0,70.0,,,,,,,,70.0
2015_REG_01_NYG_DAL_20150913,2015-09-13 12:00:00,70.0,0.0,0.0,INDOOR,indoor_controlled_daily_values,AT&T Stadium,32.7473,-97.0945,,,,70.0,70.0,70.0,,,,,,,,70.0
2015_REG_01_PHI_ATL_20150914,2015-09-14 12:00:00,70.0,0.0,0.0,INDOOR,indoor_controlled_daily_values,Georgia Dome,33.7573,-84.4008,,,,70.0,70.0,70.0,,,,,,,,70.0
