team,time,temp,tmin,tmax,prcp,wspd,snwd
DEN,2023-09-01,27.1,18.4,35.6,0.0,13.0,
DEN,2023-09-02,26.0,19.1,32.5,0.0,9.5,
DEN,2023-09-03,23.9,18.2,31.1,3.3,11.7,
DEN,2023-09-04,23.5,16.4,31.7,0.0,17.8,
DEN,2023-09-05,19.5,12.9,25.2,0.0,15.3,
DEN,2023-09-06,21.4,13.6,30.1,0.0,13.1,
DEN,2023-09-07,23.5,15.8,30.8,0.0,11.9,
DEN,2023-09-08,23.0,15.0,31.1,0.0,11.1,
DEN,2023-09-09,22.7,16.3,29.5,0.0,13.2,
DEN,2023-09-10,17.3,13.8,21.6,5.2,13.3,
DEN,2023-09-11,15.2,12.4,19.1,7.3,12.0,
DEN,2023-09-12,16.9,10.8,23.6,0.0,10.4,
DEN,2023-09-13,18.1,12.2,24.8,0.0,10.3,
DEN,2023-09-14,15.5,12.0,21.2,12.2,14.4,
DEN,2023-09-15,13.4,10.7,16.9,5.2,10.2,
DEN,2023-09-16,15.9,8.8,23.4,0.0,7.7,
DEN,2023-09-17,18.9,11.3,26.7,0.0,9.6,
DEN,2023-09-18,20.0,13.7,26.7,0.1,12.9,
DEN,2023-09-19,18.5,13.8,24.7,0.3,11.9,
DEN,2023-09-20,18.4,12.1,25.5,0.0,12.6,
DEN,2023-09-21,18.8,12.2,25.7,0.0,10.2,
DEN,2023-09-22,18.5,11.7,26.3,0.0,11.4,
DEN,2023-09-23,16.5,9.6,23.3,0.0,13.0,
DEN,2023-09-24,16.3,8.9,24.1,0.0,8.4,
DEN,2023-09-25,17.9,9.5,26.4,0.0,7.6,
DEN,2023-09-26,18.9,11.2,26.7,0.0,8.6,
DEN,2023-09-27,20.3,11.8,28.4,0.0,12.2,
DEN,2023-09-28,21.0,12.9,29.2,0.0,13.5,
DEN,2023-09-29,19.7,12.8,27.1,0.0,13.3,
DEN,2023-09-30,20.2,11.6,29.4,0.0,15.1,
DEN,2023-10-01,21.3,14.5,27.9,0.0,24.6,
DEN,2023-10-02,18.5,12.5,25.4,1.6,18.2,
DEN,2023-10-03,13.6,8.7,18.8,0.0,14.9,
DEN,2023-10-04,13.5,8.0,19.4,0.0,9.7,
DEN,2023-10-05,13.3,7.5,19.8,0.0,10.9,
DEN,2023-10-06,9.9,7.1,13.7,0.1,11.5,
DEN,2023-10-07,12.4,4.0,20.5,0.0,8.0,
DEN,2023-10-08,15.4,7.8,23.6,0.0,8.3,
DEN,2023-10-09,16.0,7.8,24.5,0.0,9.5,
DEN,2023-10-10,16.8,9.4,24.4,0.0,9.4,
DEN,2023-10-11,14.9,9.8,21.8,3.9,13.2,
DEN,2023-10-12,8.9,5.0,13.4,2.5,18.0,
DEN,2023-10-13,6.6,2.0,12.0,0.6,17.1,
DEN,2023-10-14,6.4,0.8,12.2,0.0,8.8,
DEN,2023-10-15,10.0,2.8,17.2,0.0,9.2,
DEN,2023-10-16,13.3,5.7,21.8,0.0,8.1,
DEN,2023-10-17,17.4,8.8,26.8,0.0,12.0,
DEN,2023-10-18,14.9,8.8,21.3,0.0,11.3,
DEN,2023-10-19,16.3,9.0,24.8,0.0,8.7,
DEN,2023-10-20,17.7,9.6,27.2,0.0,8.8,
DEN,2023-10-21,16.5,8.7,24.8,0.0,9.5,
DEN,2023-10-22,14.8,7.7,22.5,0.0,10.2,
DEN,2023-10-23,16.2,8.2,25.3,0.0,10.3,
DEN,2023-10-24,13.2,7.6,20.1,0.9,9.5,
DEN,2023-10-25,12.4,6.8,19.4,0.0,9.8,
DEN,2023-10-26,8.6,4.5,14.1,0.0,13.6,
DEN,2023-10-27,3.6,0.6,8.0,0.0,17.7,
DEN,2023-10-28,-1.7,-5.1,1.3,9.2,17.2,
DEN,2023-10-29,-4.3,-8.1,-0.6,3.7,11.7,
DEN,2023-10-30,-2.4,-10.4,5.8,0.0,9.0,
DEN,2023-10-31,1.5,-4.9,8.9,0.0,7.3,
DEN,2023-11-01,7.1,0.2,15.2,0.0,9.8,
DEN,2023-11-02,9.7,2.7,17.5,0.0,12.5,
DEN,2023-11-03,13.1,7.7,19.4,0.0,14.6,
DEN,2023-11-04,10.8,5.1,17.7,0.0,11.3,
DEN,2023-11-05,14.1,7.0,23.0,0.0,13.6,
DEN,2023-11-06,12.8,6.5,20.4,0.0,11.5,
DEN,2023-11-07,13.8,7.3,22.9,0.0,15.5,
DEN,2023-11-08,4.4,1.3,7.4,2.3,13.4,
DEN,2023-11-09,3.0,-0.7,8.7,0.0,8.6,
DEN,2023-11-10,3.1,-3.0,10.9,0.0,7.1,
DEN,2023-11-11,5.7,-1.3,14.1,0.0,10.8,
DEN,2023-11-12,8.0,1.3,16.3,0.0,10.6,
DEN,2023-11-13,8.9,3.2,16.9,0.0,12.1,
DEN,2023-11-14,10.7,4.5,19.0,0.0,10.2,
DEN,2023-11-15,9.2,3.0,17.7,0.0,9.7,
DEN,2023-11-16,11.5,4.4,18.8,0.0,15.4,
DEN,2023-11-17,8.2,2.3,16.3,0.0,8.0,
DEN,2023-11-18,7.4,1.5,14.4,0.0,7.0,
DEN,2023-11-19,7.1,2.3,12.6,2.1,9.6,
DEN,2023-11-20,4.5,2.5,6.6,1.0,23.9,
DEN,2023-11-21,4.6,-1.2,11.2,0.0,8.1,
DEN,2023-11-22,8.9,1.9,18.0,0.0,8.2,
DEN,2023-11-23,1.7,-2.9,6.0,0.8,17.2,
DEN,2023-11-24,-5.8,-7.5,-3.5,2.0,18.5,
DEN,2023-11-25,-7.5,-9.7,-4.8,0.5,11.3,
DEN,2023-11-26,-3.5,-10.1,3.8,0.0,9.8,
DEN,2023-11-27,-1.7,-8.0,5.7,0.0,8.4,
DEN,2023-11-28,3.1,-3.3,12.1,0.0,9.3,
DEN,2023-11-29,3.4,-3.1,12.6,0.0,8.0,
DEN,2023-11-30,-0.4,-4.0,4.2,0.0,10.0,
DEN,2023-12-01,-1.5,-5.4,4.2,0.0,8.5,
DEN,2023-12-02,-0.3,-4.2,4.0,0.0,18.6,
DEN,2023-12-03,1.1,-1.5,4.3,1.8,17.9,
DEN,2023-12-04,5.4,-1.6,13.6,0.0,15.2,
DEN,2023-12-05,6.8,-1.3,16.0,0.0,9.2,
DEN,2023-12-06,8.2,1.5,18.4,0.0,8.1,
DEN,2023-12-07,8.3,2.2,16.1,0.0,16.0,
DEN,2023-12-08,1.1,-2.3,4.9,3.3,14.3,
DEN,2023-12-09,-2.6,-6.7,1.1,0.8,10.5,
DEN,2023-12-10,1.7,-7.2,9.3,0.0,17.8,
DEN,2023-12-11,3.8,-0.9,10.2,0.0,8.7,
DEN,2023-12-12,-0.1,-1.9,2.1,0.0,9.0,
DEN,2023-12-13,0.0,-2.5,3.5,2.9,7.9,
DEN,2023-12-14,0.0,-2.7,3.2,0.0,6.9,
DEN,2023-12-15,2.1,-2.8,8.9,0.0,8.9,
